,no,text,date,class
13,14,ปลัดกลาโหม ออกหนังสือ ขอสนับสนุนพื้นที่ทำ โรงพยาบาลสนาม โดยใช้อาคารโกดังสเตเดียม ของการท่าเรือ เพื่อรองรับการแพร่ระบาด  ในชุมชนจำนวนมาก,2 พฤษภาคม 2564,0
14,15,"เมื่อโควิด19บุกร่าง จะมีการอักเสบ ฉับพลันเปรียบเหมือนไฟป่าบุก คนที่เป็นโรคอ้วน ซึ่งมีการอักเสบเรื้อรังซ่อนอยู่ จึงทรุดหนักง่ายกว่าคนทั่วไป คลิกอ่านรายละเอียดเพิ่มเติมนะคะ
",2 พฤษภาคม 2564,0
15,16,วัดบางม่วง จังหวัดนนทบุรี รับเผาศพผู้ป่วยโควิด19 ฟรี เนื่องจากหลายๆวัดไม่รับ มีคนไปกราบกรานขอ เจ้าอาวาสก็เลยช่วยแล้วก็เปิดรับเผาฟรีให้ทุกเคสเลย ,3 พฤษภาคม 2564,0
16,17,การฉีดวัคซีน​  มีประสิทธิภาพสูงสุด​ 6 เดือน​ ถ้าติดโควิดในช่วงเวลานั้น​หรือหลังจากนั้น จะแค่ช่วยบรรเทาความรุนแรงของอาการเท่านั้น​ ไม่ใช่ว่าฉีดแล้วจะไม่ติดโควิด ฉีดครบ​ 2 โดสแล้วแต่ติดโควิด​ ,2 พฤษภาคม 2564,0
17,18,ที่บอกอย่าบังคับคนให้ฉีดวัคซีน แต่ให้บุคลากรทางการแพทย์ฉีดทุกคนนี่ยังไงอะ สมัครใจที่ไม่สมัครใจปะ,2 พฤษภาคม 2564,0
18,19,โอยยย น่ากังวลสุดของตอนนี้ ก็คลัสเตอร์ คลองเตย,2 พฤษภาคม 2564,0
19,20,จะต้องมีใครตายเพราะวัคซีนอีกไหม ตายเพราะไม่ได้ฉีดกับตายเพราะฉีดวัคซีนที่ไม่คุณภาพ ห่วยแตกชิบหาย,2 พฤษภาคม 2564,0
20,21,"ฝ่ามรสุม สถานการณ์ใหญ่ กว่า 4 เดือนที่บุคลากรการแพทย์ รพ.สมุทรสาคร แบกรับทั้งงานช่วยชีวิต - ป้องกัน-สอบสวนโรค-ควบคุมการแพร่ระบาดครั้งใหญ่ถึงวันนี้ มีผู้ติดเชื้อสะสมกว่า 18,000 คน แต่ภารกิจสุดหินยืดเยื้อยังไม่จบชวนอ่านกันต่อค่ะ
",2 พฤษภาคม 2564,0
21,22,โรงพยาบาลที่บ้าน บุคลากรทางการแพทย์ต้องกักตัว 30 คน เพราะผู้ป่วยปกปิดข้อมูล รักษาตัวที่ห้องพิเศษอยู่หลายวัน พอตรวจโควิดก็คือพบเชื้อ มันกระทบไปหมดจริงๆ ขอร้องเถอะ  อย่าปกปิดอะไรเลย  มันไม่ได้มีประโยชน์อะไร มีแต่ทำร้ายคนอื่นทางอ้อม,2 พฤษภาคม 2564,0
22,23,ล่าสุดหมู่บ้านกู ผู้ป่วยโควิด ปกปิด ไทม์ไลน์ แล้วซวยกันทั้งหมู่บ้านเลยทีนี้,2 พฤษภาคม 2564,0
23,24,กรุงเทพมหานครพบผู้ติดเชื้อ วันนี้ เพิ่ม 539 ราย อยู่ระหว่างการสอบสวนโรค 302 ราย โดยเขตที่มีผู้ติดเชื้อวันนี้สูงสุดประกอบด้วย จตุจักร 16 ราย บางซื่อ 13 ราย เขตที่ไม่มีผู้ติดเชื้อในวันนี้มี 9 เขต คือ ดอนเมือง บางกอกใหญ่ บางบอน บางรัก ป้อมปราบฯ พระโขนง ลาดกระบัง สะพานสูง และหนองจอก,2 พฤษภาคม 2564,0
24,25,ไม่ได้ไม่กลัวนะ แต่ยังไงก็ตามฉันจะยังไม่ฉีดวัคซีน จนกว่ารัฐจะมีตัวเลือกอื่นๆให้ฉันได้ฉีด ยอมรับตรงๆเลยว่ากลัวตายเพราะวัคซีนจริงๆ,2 พฤษภาคม 2564,0
25,26,สถานการณ์ที่เป็นกันอยู่ทั่วโลก ไม่มีที่ไหนที่ไม่มีปัญหาเพราะโควิด ไม่ช่วยก็อย่าเป็นภาระคนอื่น คำพูดนี้เห็นด้วยมากๆ ค่ะ,1 สิงหาคม 2564,0
26,27,ไรเดอร์ติด กันเยอะขึ้นเรื่อยๆ คนส่งอาหารน้อยลง ทำให้การส่งอาหารเริ่มมีปัญหา ล็อกดาวน์รอบนี้อาจจะฝากชีวิตไว้กับอาหารเดลิเวอรี่ไม่ได้แล้ว,1 สิงหาคม 2564,0
27,28,"สงสัยยอดวันนี้จะ 20,000 ",1 สิงหาคม 2564,0
28,29,ตำรวจหญิง 1 ราย เสียชีวิตหลังจากฉีดวัคซีนป้องกันโควิด19 ซึ่งทางกองบังคับการอำนวยการ สำนักงานตรวจคนเข้าเมือง,18 พฤษภาคม 2564,0
29,30,ด่าไปวันก่อน ยกเลิกละหรอ หึหึ ไม่ต้องสาระแนเปลี่ยนไปเปลี่ยนมาอีกนะ กรุงเทพมหานครสั่งคลายล็อค 1 กันยายน ร้านอาหาร นั่งทานได้ ไม่มีเงื่อนไขฉีดวัคซีน,30 สิงหาคม 2564,0
30,31,ด่วนกรุงเทพมหานครสั่งคลายล็อค 1 กันยายน ร้านอาหาร นั่งทานได้ ไม่มีเงื่อนไขฉีดวัคซีน,29 สิงหาคม 2564,0
31,32,รบกวนสอบถามผู้มีความรู้ค่ะ ถ้าเรารับแอสตราเซเนก้าเข็มแรกมาแล้วไม่เป็นอะไรหมายถึง มีอาการตามที่ควรจะมี แต่ไม่รุนแรงแล้วถ้าฉีดเข็ม2 เราจะมั่นใจได้แค่ไหนคะ ว่าเราก็ยังจะไม่เป็นอะไร,30 สิงหาคม 2564,0
32,33,โควิดภูเก็ตวันนี้นะ มีอีก 34 ท่านที่อาการน่าห่วง ,29 สิงหาคม 2564,0
33,34,เปิดลงทะเบียนพรุ่งนี้ ซิโนแวคบวกซิโนแวค หรือ แอสตร้าเซนเนก้าบวกแอสตร้าเซนเนก้า ราชวิทยาลัยจุฬาภรณ์ เปิดลงทะเบียนขอรับการจัดสรรวัคซีนหลัก สำหรับบุคคลธรรมดา เปิดลงทะเบียน 30 สิงหาคม 2564,29 สิงหาคม 2564,0
34,35,สาธารณสุขจังหวัดประจวบคีรีขันธ์เผยพบตำรวจสังกัดพลร่มค่ายนเรศวร ติดเชื้อโควิด 340 นาย ขณะเดินทางมาฝึกที่ศูนย์ฝึกรบพิเศษค่ายฤทธิฤาชัย ป่าละอู ทั้งหมดฉีดชิโนแวคครบ2เข็ม ,29 สิงหาคม 2564,0
35,36,อยู่ๆ ก็ล็อก อยู่ๆ ก็คลาย ทั้งที่ยอดคนตายเฉลี่ยๆ 300 ทุกวัน นี่เค้าเอาสถิติอะไรมาประเมินในการออกคำสั่งแต่ละครั้งวะ ทำไมกุหาเหตุผลรองรับไม่เคยเจอ ไม่เข้าใจหลักคิดและตรรกะ รึแค่ปิดล็อกมานานละก็ไม่ดีขึ้น ปล่อยมันออกมาติดๆ กันไปก่อนจะอดตายกันหมดงี้มั้ย,29 สิงหาคม 2564,0
36,37,ฟุตซอลทีมชาติไทย จะถูกกักบริเวณ ขณะไปแข่งฟุตซอลชิงแชมป์โลก ที่ลิธัวเนีย ระหว่าง12กันยายน ถึง 3ตุลาคม เพราะฉีดชิโนแวค2เข็ม,29 สิงหาคม 2564,0
37,38,ปิดป่าละอูล็อกโควิด ตำรวจฉีดซิโนแวค 2 เข็มเอาไม่อยู่ 340 นายติดเชื้อยกค่ายฝึก,29 สิงหาคม 2564,0
38,39,รวมพลังสู้โควิด รับผิดชอบต่อสังคม กรมควบคุมโรค ต้องกักตัว 14 วัน เมื่อเดินทางมาประเทศไทย,29 สิงหาคม 2564,0
39,40,กระทรวงสาธารณสุขเผยอัตราครองเตียง ผู้ติดเชื้อพื้นที่กรุงเทพมหานครและปริมณฑลเริ่มผ่อนคลาย ,29 สิงหาคม 2564,0
40,41,กระทรวงสาธารณสุขเผยอัตราครองเตียง ผู้ติดเชื้อพื้นที่กรุงเทพมหานครและปริมณฑลเริ่มผ่อนคลาย,29 สิงหาคม 2564,0
41,42,กระทรวงสาธารณสุขเผยอัตราครองเตียง ผู้ติดเชื้อพื้นที่กรุงเทพมหานครและปริมณฑลเริ่มผ่อนคลาย,29 สิงหาคม 2564,0
42,43,ผู้ที่ทานยารักษาสิวอยู่สามารถฉีดวัคซีนป้องกันโควิด19ได้โดยไม่ต้องหยุดยาเม็ด ,29 สิงหาคม 2564,0
43,44,วันนี้ยอดติดเชื้อลดลง เหลือ 762 ต่อวัน จาก 1064 ,29 สิงหาคม 2564,0
44,45,กรุงเทพมหานครเปิดบินข้าม 29 จังหวัดควบคุม 1 กันยายนนี้ พร้อมโชว์ผลตรวจโควิด,29 สิงหาคม 2564,0
45,46,ไงวัคซีนซิโนแวคที่สลิ่มอวยนักอวยหนาดีที่สุดในโลก แต่ต่างประเทศเขาไม่ยอมรับนะถึงจะฉีดครบ2เข็มแล้วก็ตาม แล้วเนี้ยนักกีฬาฟุตซอลไปแข่งฟุตซอลโลก ก็ต้องโดนกักบริเวณไปอีก ซึ่งจริงๆพวกเขาควรได้ฉีดวัคซีนที่ดีกว่านี้ด้วย ,29 สิงหาคม 2564,0
46,47,"ยอดผู้ติดเชื้อรายจังหวัดวันนี้ติดเชื้อทั่วประเทศ มากสุดยังคงเป็น กรุงเทพมหานคร เพิ่ม 3,821 ราย จังหวัดแม่ฮ่องสอนไม่มีผู้ติดเชื้อ",29 สิงหาคม 2564,0
47,48,"ยอดผู้ติดเชื้อโควิด19 วันพุธที่ 25 สิงหาคม 2564 รวม 18,417 ราย ผู้ป่วยสะสม 1,073,505 ราย ตั้งแต่ 1 เมษายน หายป่วยกลับบ้าน 21,186 ราย หายป่วยสะสม 875,589 ราย ผู้ป่วยกำลังรักษา 189,268 ราย เสียชีวิต 297 ราย",25 สิงหาคม 2564,0
48,49,"วันนี้ เสียชีวิต 297 ราย ติดเชื้อ 18,417 ราย วันนี้ยอดเสียชีวิตสะสม 10,085 ราย ",25 สิงหาคม 2564,0
49,50,"ศูนย์บริหารสถานการณ์แพร่ระบาดของโรคติดเชื้อไวรัสโคโรนากางไทม์ไลน์การรับวัคซีนโควิด 19 ของไทยต่อจากนี้จนสิ้นปี 64 โดยตั้งแต่กันยายน เป็นต้นไป ไทยจะมีวัคซีนเข้ามาราว 15-17 ล้านโดสต่อเดือน
และแอสตราเซเนก้า รับปากจะจัดส่งให้เดือนละ 7 ล้านโดสเป็นอย่างน้อย ทำให้การจัดหาเป็นไปตามเป้า 100 ล้านโดสในปี 2564",25 สิงหาคม 2564,0
50,51,การนำเข้ายาหรือวัคซีนจากต่างประเทศรัฐบาลไม่เคยปิดกั้นเอกชนแต่อย่างใดโดยเอกชนที่ต้องการนำเข้าวัคซีนโควิด19 ต้องมายื่นเป็นผู้รับอนุญาตนำหรือสั่งยาเข้ามาในราชอาณาจักรก่อน จากนั้นจึงยื่นขอขึ้นทะเบียนวัคซีนโควิด19 อีกครั้ง ซึ่งเป็นไปตามหลักปฏิบัติสากล ,25 สิงหาคม 2564,0
51,52,"ยอดผู้ติดเชื้อโควิด19 วันอังคารที่ 24 สิงหาคม 2564 รวม 17,165 ราย ผู้ป่วยสะสม 1,055,088 ราย ตั้งแต่ 1 เมษายน หายป่วยกลับบ้าน 20,059 ราย หายป่วยสะสม 854,403 ราย ผู้ป่วยกำลังรักษา 192,334 ราย เสียชีวิต 226 ราย",24 สิงหาคม 2564,0
52,53,ต้องรอให้คนติดเป็นหมื่น ตายเป็นพันถึงจะคิดได้เหรอวะ,24 สิงหาคม 2564,0
53,54,"สำนักงานหลักประกันสุขภาพแห่งชาติปรับเกณฑ์จ่ายค่าอาหารโฮมไอโซเลชันพร้อมเพิ่มค่าออกซิเจนวันละ 450 บาท
ที่มา สำนักงานหลักประกันสุขภาพแห่งชาติ ",23 สิงหาคม 2564,0
54,55,"ศูนย์บริหารสถานการณ์แพร่ระบาดของโรคติดเชื้อไวรัสโคโรนาสรุปข้อมูล ฉีดวัคซีนโควิด19 ทั่วประเทศ ข้อมูลตั้งแต่ 28 ก.พ.ถึง 23 ส.ค.64 ยอดฉีดสะสม 27,612,445 โดส แบ่งเป็น เข็มที่ 1 จำนวน 20,830,673คน เข็มที่ 2 จำนวน 6,230,511 คน เข็มที่ 3 จำนวน 551,261 คน",24 สิงหาคม 2564,0
55,56,ยาที่เภสัชระบุว่าเป็นยาฟาวิพิราเวีย ปลอม ซึ่งสังเกตว่าวิธีการกินเหมือนกัน และไม่เหมือนวิธีการกินของยาฟาวิพิราเวีย,21 สิงหาคม 2564,0
56,57,"พบผู้ติดเชื้อโควิด19 จำนวนมากเกือบ 1,000 ราย นั้น ทางสำนักงานประชาสัมพันธ์ จังหวัดลำพูนได้ชี้แจงรายละเอียดว่า จากการตรวจสอบผู้ติดเชื้อโควิด19 ในโรงงานดังกล่าว พบว่า มีผู้ติดเชื้อจำนวน 77 ราย ไม่ใช่จำนวนเกือบพันรายอย่างที่ต้นโพสต์กล่าวอ้างแต่อย่างใด",21 สิงหาคม 2564,0
57,58,ข่าวปลอมโควิด เครื่องพ่นฆ่าเชื้อโควิด หลอกลวงซีพี ไม่ได้ลงทุนตามอ้างและหมอยง ไม่ได้รับรองผลโควิด19 ,14 พฤษภาคม 2564,0
58,59,"กรมการแพทย์ แจงหนุ่มป่วยโรคลมชัก ไม่ได้ฉีดวัคซีนแพ้แล้วตายที่สถานีกลางบางซื่อ 
",29 พฤษภาคม 2564,0
59,60,"จะแจกเงินเดือนละ 25,000 บาท โดยที่ไม่ต้องทำอะไร มีการบอกให้ไปยืนยันตัวตนที่ตู้เอทีเอ็มด้วย 
ช่วงแรกๆ หลอกให้ไปกรุงไทย หลังๆ มานี่เหมาแทบทุกธนาคาร",15 สิงหาคม 2564,0
60,61,หมอทศพรไปเคลมผลงาน ยื่นขอวัคซีนไฟเซอร์ หลังอเมริกาประกาศจะส่งให้อยู่แล้ว ซึ่งข้อเท็จจริง คุณหมอไปยื่นจดหมายถึงโจไบเดน ตั้งแต่วันที่ 28พค ครับ มาก่อนกาลทั้งปวง ขอบคุณคุณหมอทศอีกครั้งหนึ่งครับ,14 สิงหาคม 2564,0
61,62,เรื่องร้ายกลายเป็นดี 7 คนไทยเก็บเห็ดล้ำแดนลาว ทางการยันฉีดวัคซีนเอ็มอาร์เอ็นเอ ให้ก่อนส่งกลับไทย ,02 สิงหาคม 2564,0
62,63,ตำรวจแฉห้องทดลองเชื้อโรคสหรัฐอยู่ที่กรุงเทพ,18 สิงหาคม 2564,0
63,64,"พบผู้ติดเชื้อโควิด19 จำนวนมากเกือบ 1,000 ราย นั้น ทางสำนักงานประชาสัมพันธ์ จังหวัดลำพูนได้ชี้แจงรายละเอียดว่า จากการตรวจสอบผู้ติดเชื้อโควิด19 ในโรงงานดังกล่าว พบว่า มีผู้ติดเชื้อจำนวน 77 ราย ",21 สิงหาคม 2564,0
64,65,กรุงเทพมหานครตรวจได้วันละหมื่น เมิงดูเมืองอื่นอื่นเค้าตรวจ  เค้าใช้เวลาน้อยกว่าเมิง แต่เค้าตรวจได้เยอะกว่าเมิงอีก ,08 สิงหาคม 2564,0
65,66,กระทรวงสาธารณสุขแจงขอถอดงานวิจัย ฟ้าทะลายโจร รักษาโควิด ระหว่างรอตีพิมพ์วารสารการแพทย์ เหตุพบตัวเลขคลาดเคลื่อนเล็กน้อย  หลังปรับปรุงแล้วก็จะส่งกลับไปตีพิมพ์ ส่วนผลการวิจัยเรื่องประสิทธิภาพและความปลอดภัยของฟ้าทะลายโจรยังคงเหมือนเดิม คือมีแนวโน้มลดอาการปอดอักเสบได้,09 สิงหาคม 2564,0
66,67,สภาพตอนนี้คือ โรงพยาบาลรัฐหลายแห่งไม่รับตรวจโควิดฟรีตามโครงการแล้วโดยเฉพาะ กรุงเทพมหานคร เพราะถ้าตรวจพบก็ต้องรับเคสนั่นไปรักษาซึ่งก็ไม่มีเตียงเพียงพอให้ เลยเลือกที่จะไม่รับตรวจ หรือตรวจให้น้อยลง นี่คือวิธีแก้ปัญหา,09 กรกฎาคม 2564,0
67,68,"วันนี้วัคซีนไทยเพิ่มขึ้น 9,276 อันดับ 7ของโลก เพราะประเทศอื่นเขาฉีดวัคซีนกันหมดละครับ",08 กรกฎาคม 2564,0
68,69,ที่น่าสนใจคือแนวทางฉีด ไฟเซอร์ กลุ่มที่ 3 ซึ่ง ศูนย์บริหารสถานการณ์แพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา ใช้คำว่า ผู้ที่มีความจำเป็นต้องฉีดก่อนไปต่างประเทศ ถ้าไม่คุมให้ดี ไอ้คำว่าจำเป็นต้องฉีดนี่อาจเปิดช่องให้มีการแทรกหรือมั่วจากคนที่มีเส้นสาย vip กันได้ง่ายๆเลย รู้สึกไม่น่าไว้ใจ,06 กรกฎาคม 2564,0
69,70,"ผู้เสียชีวิตทะลุ 50 คน สถานการณ์ไม่ดีเลย นอกเรือนจำสูงกว่า 3,000 ถ้าไม่รีบจัดวัคซีนที่มีคุณภาพ หรือนำเข้าวัคซีนทางเลือกให้พอ ถ้าสายพันธุ์เดลต้าระบาดแทนอัลฟา บอกเลยว่าเจ๊งแบบกู่ไม่กลับ นี่เราช้ากว่าประเทศอื่นมากแล้วนะ ",23 มิถุนายน 2564,0
70,71,"จะเปิดประเทศ ภายใน120วัน ยอดติดเชื้อเพิ่มวันละ 4,000 คน และมีโควิดสายพันธ์ุอินเดียมาระบาดเพิ่มอีก",22 มิถุนายน 2564,0
0,1,"ไทยติดเชื้อเพิ่ม 80 รายแบ่งเป็นผู้ป่วยรายใหม่จากระบบฯ 28 ราย คัดกรองเชิงรุกในชุมชน 36 ราย กลับจากต่างประเทศ 16 ราย วันนี้ไม่มีรายงานผู้เสียชีวิต หายป่วยเพิ่มขึ้น 196 ราย ยังรักษาใน โรงพยาบาล 624 ราย

",1 มีนาคม 2564,1
1,2,อัปเดตสถานการณ์ วันที่ 1 มีนาคมคม 2564 ผู้ติดเชื้อรายใหม่ รวม 80 ราย จากระบบเฝ้าระวังและระบบบริการฯ 28 ราย คัดกรองเชิงรุกในชุมชน 36 ราย มาจากต่างประเทศ 16 ราย,1 มีนาคม 2564,1
2,3,"รายงานโควิด 19 วันที่ 01 มีนาคมคม 64 ผู้ป่วยเพิ่ม 80 ราย  ผู้ป่วยทั้งหมด 26,031 ราย รักษาอยู่ใน โรงพยาบาล 624 ราย เสียชีวิต 83 ราย รักษาหายเพิ่ม 196 ราย รักษาหายเเล้ว 25,324 ราย",1 มีนาคม 2564,1
3,4,"อัปเดต 2 มีนาคม 11.30 สถานการณ์ในประเทศไทย พบผู้ติดเชื้อเพิ่ม 42 ราย ติดเชื้อในประเทศ 39 ราย, ติดเชื้อจากต่างประเทศ  3 ราย รวมผู้ป่วยะสม 26,073 ราย หายป่วยเพิ่ม 96 ราย รวมหายแล้ว 25,420 ราย เสียชีวิตเพิ่ม 1 ราย รวม 84 ราย คงเหลือรักษาตัว 569 ราย",2 มีนาคม 2564,1
4,5,"สถานการณ์ทั่วโลก วันที่ 3 มีนาคมคม 2564 เวลา 06:00 น. ผู้ป่วยยืนยัน 115,251,006 ราย กลับบ้านแล้ว 90,980,344 ราย  ยังรักษาใน โรงพยาบาล 21,712,468 ราย เสียชีวิต 2,558,194 ราย อย่าลืมสวมหน้ากาก รักษาระยะห่าง หมั่นล้างมือ เช็คชื่อใน ไทยชนะ และ หมอชนะ นะคะ",3 มีนาคม 2564,1
5,6,"4 มีนาคม 2564 รายใหม่ 54 ราย มาจากต่างประเทศ กักตัวที่โรงแรม 10 ราย รายใหม่จากระบบเฝ้าระวัง 36 ราย ตรวจเชิงรุก 8 ราย ยอดสะสม 26,162 ราย หายเพิ่ม 79 ราย หายแล้ว 25,562 ราย เสียชีวิตเพิ่ม 1 ราย รวม 85 ราย

",4 มีนาคม 2564,1
6,7,"ศูนย์ข้อมูลโควิด เปิดเผยวันนี้ 4 มีนาคม 2564 พบผู้ติดเชื้อเพิ่ม 54 ราย หายป่วยเพิ่ม 79 ราย หายป่วยสะสม 25,562 ราย ผู้ป่วยยืนยันสะสม 26,162 ราย รักษาตัวอยู่ที่โรงพยาบาล 515 ราย วันนี้มีข่าวร้าย มีผู้เสียชีวิตเพิ่ม 1 ราย ทำให้มียอดสะสม 85 ราย
",4 มีนาคม 2564,1
7,8,"โควิดวันนี้ 5 มี.ค. 64 รายใหม่ 79 ราย มาจากต่างประเทศ เข้ากักตัวที่โรงแรม 14 ราย รายใหม่จากระบบเฝ้าระวัง 22 ราย ตรวจเชิงรุก 43 ราย ยอดสะสม 26,241 ราย ยังรักษาตัว 515 ราย หายเพิ่ม 79 ราย หายแล้ว 25,641 ราย เสียชีวิตคงที่ 85 ราย",5 มีนาคม 2564,1
8,9,อัปเดตสถานการณ์ โควิด19 วันที่ 5 มีนาคม 2564 ผู้ติดเชื้อรายใหม่ 79 ราย จากระบบเฝ้าระวังและระบบบริการฯ 22 ราย คัดกรองเชิงรุก 43 ราย มาจาก ตปท.เข้ากักตัวที่โรงแรม 12 ราย มาจาก ต่างประเทศไม่เข้ากักตัวที่โรงแรม 2 ราย,5 มีนาคม 2564,1
9,10,"ศูนย์บริหารสถานการณ์แพร่ระบาดของโรคติดเชื้อไวรัสโคโรนา รายงานสถานการณ์โควิด 19 วันนี้ 6 มีนาคม 2564 พบผู้ติดเชื้อรายใหม่เพิ่ม 64 ราย จากระบบเฝ้าระวังและบริการ 29 ราย จากการค้นหาเชิงรุก 25 ราย จากต่างประเทศ 10 ราย หายป่วยเพิ่ม 45 ราย สะสมหายป่วยแล้ว 25,686 ราย  ยอดผู้ป่วยสะสม 26,305 ราย ไม่มีผู้เสียชีวิตเพิ่ม
",6 มีนาคม 2564,1
10,11,"จังหวัดสมุทรสงคราม ยอดผู้ติดเชื้อโควิด19 พุ่งขึ้นต่อเนื่อง หลังพบผูัติดเชื้อรายใหม่ 98 ราย รวมยอดผู้ติดเชื้อสะสม 1,863 ราย 
",15 กรกฎาคม 2564,1
11,12,"สถานการณ์ทั่วโลก วันที่ 15 กรกฎาคมคม 2564 เวลา 6 นาฬิกา ผู้ป่วยยืนยัน 189,109,872 ราย กลับบ้านแล้ว 172,757,701 ราย  ยังรักษาใน โรงพยาบาล 12,278,634 ราย เสียชีวิต 4,073,537 ราย

",15 กรกฎาคม 2564,1
12,13,"อัปเดต สถานการณ์ผู้ป่วยติดเชื้อ ในไทย ประจำวันที่ 2 พฤษภาคม64 ผู้ติดเชื้อรายใหม่ 1,940 คน สะสม 68,984 คน หายป่วยเพิ่ม 1,183 คน สะสม 39,481 คน เสียชีวิตเพิ่ม 21 คน สะสม 245 คน",2 พฤษภาคม 2564,1
13,14,"รักษาโควิดหาย กรุงเทพมหานครส่งกลับบ้านแล้ว 2,072 ราย
",2 พฤษภาคม 2564,1
14,15,"ชุมชนคลองเตย น่าห่วง พบผู้ติดเชื้อโควิด19 มากถึง 304 ราย จาก 12 ชุมชน ในระลอกเดือน เมษายน 64 แบ่งเป็น 193 ราย ในชุมชนแออัด และ 111 ราย ในคอนโด หอพัก อื่นๆ หากควบคุมการระบาดของคลัสเตอร์ดังกล่าวไม่ได้ อาจทำให้สถานการณ์แย่ลง
",2 พฤษภาคม 2564,1
